"tripId (S)","direction (S)","futureStopData (S)","routeId (S)","startDate (S)","ts (N)","currentStopId (S)","currentStopStatus (N)","vehicleTimeStamp (N)"
"074800_3..S01X002","S","[arrival {
  time: 1488048330
}
departure {
  time: 1488048330
}
stop_id: ""255S""
, arrival {
  time: 1488048390
}
departure {
  time: 1488048390
}
stop_id: ""256S""
, arrival {
  time: 1488048480
}
stop_id: ""257S""
]","3","20170225","1488048292","255S","0","1488048290"
"078800_3..S01X002","S","[arrival {
  time: 1488048348
}
departure {
  time: 1488048348
}
stop_id: ""130S""
, arrival {
  time: 1488048408
}
departure {
  time: 1488048408
}
stop_id: ""131S""
, arrival {
  time: 1488048468
}
departure {
  time: 1488048468
}
stop_id: ""132S""
, arrival {
  time: 1488048558
}
departure {
  time: 1488048558
}
stop_id: ""133S""
, arrival {
  time: 1488048648
}
departure {
  time: 1488048648
}
stop_id: ""134S""
, arrival {
  time: 1488048738
}
departure {
  time: 1488048738
}
stop_id: ""135S""
, arrival {
  time: 1488048798
}
departure {
  time: 1488048798
}
stop_id: ""136S""
, arrival {
  time: 1488048888
}
departure {
  time: 1488048888
}
stop_id: ""137S""
, arrival {
  time: 1488048948
}
departure {
  time: 1488048948
}
stop_id: ""228S""
, arrival {
  time: 1488049098
}
departure {
  time: 1488049098
}
stop_id: ""229S""
, arrival {
  time: 1488049158
}
departure {
  time: 1488049158
}
stop_id: ""230S""
, arrival {
  time: 1488049428
}
departure {
  time: 1488049428
}
stop_id: ""231S""
, arrival {
  time: 1488049488
}
departure {
  time: 1488049488
}
stop_id: ""232S""
, arrival {
  time: 1488049578
}
departure {
  time: 1488049578
}
stop_id: ""233S""
, arrival {
  time: 1488049638
}
departure {
  time: 1488049638
}
stop_id: ""234S""
, arrival {
  time: 1488049728
}
departure {
  time: 1488049728
}
stop_id: ""235S""
, arrival {
  time: 1488049788
}
departure {
  time: 1488049788
}
stop_id: ""236S""
, arrival {
  time: 1488049908
}
departure {
  time: 1488049908
}
stop_id: ""237S""
, arrival {
  time: 1488049998
}
departure {
  time: 1488049998
}
stop_id: ""238S""
, arrival {
  time: 1488050088
}
departure {
  time: 1488050088
}
stop_id: ""239S""
, arrival {
  time: 1488050178
}
departure {
  time: 1488050178
}
stop_id: ""248S""
, arrival {
  time: 1488050268
}
departure {
  time: 1488050268
}
stop_id: ""249S""
, arrival {
  time: 1488050388
}
departure {
  time: 1488050628
}
stop_id: ""250S""
, arrival {
  time: 1488050778
}
departure {
  time: 1488050778
}
stop_id: ""251S""
, arrival {
  time: 1488050868
}
departure {
  time: 1488050868
}
stop_id: ""252S""
, arrival {
  time: 1488050988
}
departure {
  time: 1488050988
}
stop_id: ""253S""
, arrival {
  time: 1488051048
}
departure {
  time: 1488051048
}
stop_id: ""254S""
, arrival {
  time: 1488051138
}
departure {
  time: 1488051138
}
stop_id: ""255S""
, arrival {
  time: 1488051198
}
departure {
  time: 1488051198
}
stop_id: ""256S""
, arrival {
  time: 1488051288
}
stop_id: ""257S""
]","3","20170225","1488048292","130S","0","1488048288"
"083500_GS.N03R","N","[departure {
  time: 1488048900
}
stop_id: ""901N""
, arrival {
  time: 1488048990
}
stop_id: ""902N""
]","GS","20170225","1488048262",,,
"082550_4..N13X300","N","[departure {
  time: 1488048330
}
stop_id: ""640N""
, arrival {
  time: 1488048450
}
departure {
  time: 1488048450
}
stop_id: ""639N""
, arrival {
  time: 1488048540
}
departure {
  time: 1488048540
}
stop_id: ""638N""
, arrival {
  time: 1488048600
}
departure {
  time: 1488048600
}
stop_id: ""637N""
, arrival {
  time: 1488048690
}
departure {
  time: 1488048690
}
stop_id: ""636N""
, arrival {
  time: 1488048780
}
departure {
  time: 1488048780
}
stop_id: ""635N""
, arrival {
  time: 1488048900
}
departure {
  time: 1488048900
}
stop_id: ""634N""
, arrival {
  time: 1488048960
}
departure {
  time: 1488048960
}
stop_id: ""633N""
, arrival {
  time: 1488049020
}
departure {
  time: 1488049020
}
stop_id: ""632N""
, arrival {
  time: 1488049140
}
departure {
  time: 1488049140
}
stop_id: ""631N""
, arrival {
  time: 1488049260
}
departure {
  time: 1488049260
}
stop_id: ""630N""
, arrival {
  time: 1488049350
}
departure {
  time: 1488049350
}
stop_id: ""629N""
, arrival {
  time: 1488049440
}
departure {
  time: 1488049440
}
stop_id: ""628N""
, arrival {
  time: 1488049560
}
departure {
  time: 1488049560
}
stop_id: ""627N""
, arrival {
  time: 1488049650
}
departure {
  time: 1488049650
}
stop_id: ""626N""
, arrival {
  time: 1488049770
}
departure {
  time: 1488049770
}
stop_id: ""625N""
, arrival {
  time: 1488049860
}
departure {
  time: 1488049860
}
stop_id: ""624N""
, arrival {
  time: 1488049920
}
departure {
  time: 1488049920
}
stop_id: ""623N""
, arrival {
  time: 1488050010
}
departure {
  time: 1488050010
}
stop_id: ""622N""
, arrival {
  time: 1488050100
}
departure {
  time: 1488050160
}
stop_id: ""621N""
, arrival {
  time: 1488050310
}
departure {
  time: 1488050310
}
stop_id: ""416N""
, arrival {
  time: 1488050430
}
departure {
  time: 1488050430
}
stop_id: ""415N""
, arrival {
  time: 1488050580
}
departure {
  time: 1488050580
}
stop_id: ""414N""
, arrival {
  time: 1488050700
}
departure {
  time: 1488050700
}
stop_id: ""413N""
, arrival {
  time: 1488050790
}
departure {
  time: 1488050790
}
stop_id: ""412N""
, arrival {
  time: 1488050880
}
departure {
  time: 1488050880
}
stop_id: ""411N""
, arrival {
  time: 1488050940
}
departure {
  time: 1488050940
}
stop_id: ""410N""
, arrival {
  time: 1488051030
}
departure {
  time: 1488051030
}
stop_id: ""409N""
, arrival {
  time: 1488051120
}
departure {
  time: 1488051120
}
stop_id: ""408N""
, arrival {
  time: 1488051180
}
departure {
  time: 1488051180
}
stop_id: ""407N""
, arrival {
  time: 1488051240
}
departure {
  time: 1488051240
}
stop_id: ""406N""
, arrival {
  time: 1488051360
}
departure {
  time: 1488051360
}
stop_id: ""405N""
, arrival {
  time: 1488051450
}
departure {
  time: 1488051450
}
stop_id: ""402N""
, arrival {
  time: 1488051570
}
stop_id: ""401N""
]","4","20170225","1488048262","640N","1","1488048154"
"076800_2..S08R","S","[arrival {
  time: 1488048251
}
departure {
  time: 1488048251
}
stop_id: ""125S""
, arrival {
  time: 1488048371
}
departure {
  time: 1488048371
}
stop_id: ""126S""
, arrival {
  time: 1488048461
}
departure {
  time: 1488048461
}
stop_id: ""127S""
, arrival {
  time: 1488048551
}
departure {
  time: 1488048551
}
stop_id: ""128S""
, arrival {
  time: 1488048641
}
departure {
  time: 1488048641
}
stop_id: ""129S""
, arrival {
  time: 1488048701
}
departure {
  time: 1488048701
}
stop_id: ""130S""
, arrival {
  time: 1488048761
}
departure {
  time: 1488048761
}
stop_id: ""131S""
, arrival {
  time: 1488048821
}
departure {
  time: 1488048821
}
stop_id: ""132S""
, arrival {
  time: 1488048911
}
departure {
  time: 1488048911
}
stop_id: ""133S""
, arrival {
  time: 1488049001
}
departure {
  time: 1488049001
}
stop_id: ""134S""
, arrival {
  time: 1488049091
}
departure {
  time: 1488049091
}
stop_id: ""135S""
, arrival {
  time: 1488049151
}
departure {
  time: 1488049151
}
stop_id: ""136S""
, arrival {
  time: 1488049241
}
departure {
  time: 1488049241
}
stop_id: ""137S""
, arrival {
  time: 1488049301
}
departure {
  time: 1488049301
}
stop_id: ""228S""
, arrival {
  time: 1488049451
}
departure {
  time: 1488049451
}
stop_id: ""229S""
, arrival {
  time: 1488049511
}
departure {
  time: 1488049511
}
stop_id: ""230S""
, arrival {
  time: 1488049781
}
departure {
  time: 1488049781
}
stop_id: ""231S""
, arrival {
  time: 1488049841
}
departure {
  time: 1488049841
}
stop_id: ""232S""
, arrival {
  time: 1488049931
}
departure {
  time: 1488049931
}
stop_id: ""233S""
, arrival {
  time: 1488049991
}
departure {
  time: 1488049991
}
stop_id: ""234S""
, arrival {
  time: 1488050081
}
departure {
  time: 1488050081
}
stop_id: ""235S""
, arrival {
  time: 1488050141
}
departure {
  time: 1488050141
}
stop_id: ""236S""
, arrival {
  time: 1488050261
}
departure {
  time: 1488050261
}
stop_id: ""237S""
, arrival {
  time: 1488050351
}
departure {
  time: 1488050351
}
stop_id: ""238S""
, arrival {
  time: 1488050441
}
departure {
  time: 1488050441
}
stop_id: ""239S""
, arrival {
  time: 1488050621
}
departure {
  time: 1488050621
}
stop_id: ""241S""
, arrival {
  time: 1488050681
}
departure {
  time: 1488050681
}
stop_id: ""242S""
, arrival {
  time: 1488050771
}
departure {
  time: 1488050771
}
stop_id: ""243S""
, arrival {
  time: 1488050861
}
departure {
  time: 1488050861
}
stop_id: ""244S""
, arrival {
  time: 1488050951
}
departure {
  time: 1488050951
}
stop_id: ""245S""
, arrival {
  time: 1488051041
}
departure {
  time: 1488051041
}
stop_id: ""246S""
, arrival {
  time: 1488051161
}
stop_id: ""247S""
]","2","20170225","1488048292","125S","1","1488048221"
"085850_5..S08X011","S","[departure {
  time: 1488050310
}
stop_id: ""501S""
, arrival {
  time: 1488050430
}
departure {
  time: 1488050430
}
stop_id: ""502S""
, arrival {
  time: 1488050580
}
departure {
  time: 1488050580
}
stop_id: ""503S""
, arrival {
  time: 1488050730
}
departure {
  time: 1488050730
}
stop_id: ""504S""
, arrival {
  time: 1488050790
}
departure {
  time: 1488050790
}
stop_id: ""505S""
, arrival {
  time: 1488050970
}
departure {
  time: 1488050970
}
stop_id: ""213S""
, arrival {
  time: 1488051060
}
departure {
  time: 1488051060
}
stop_id: ""214S""
, arrival {
  time: 1488051180
}
departure {
  time: 1488051180
}
stop_id: ""215S""
, arrival {
  time: 1488051300
}
departure {
  time: 1488051300
}
stop_id: ""216S""
, arrival {
  time: 1488051390
}
departure {
  time: 1488051390
}
stop_id: ""217S""
, arrival {
  time: 1488051450
}
departure {
  time: 1488051450
}
stop_id: ""218S""
, arrival {
  time: 1488051540
}
departure {
  time: 1488051540
}
stop_id: ""219S""
, arrival {
  time: 1488051630
}
departure {
  time: 1488051630
}
stop_id: ""220S""
, arrival {
  time: 1488051750
}
departure {
  time: 1488051750
}
stop_id: ""221S""
, arrival {
  time: 1488051870
}
departure {
  time: 1488051870
}
stop_id: ""222S""
, arrival {
  time: 1488052020
}
departure {
  time: 1488052020
}
stop_id: ""416S""
, arrival {
  time: 1488052170
}
departure {
  time: 1488052290
}
stop_id: ""621S""
, arrival {
  time: 1488052560
}
departure {
  time: 1488052680
}
stop_id: ""626S""
, arrival {
  time: 1488052890
}
departure {
  time: 1488052890
}
stop_id: ""629S""
, arrival {
  time: 1488053040
}
stop_id: ""631S""
]","5","20170225","1488048262",,,
"084150_4..N13X300","N","[departure {
  time: 1488049290
}
stop_id: ""640N""
, arrival {
  time: 1488049410
}
departure {
  time: 1488049410
}
stop_id: ""639N""
, arrival {
  time: 1488049500
}
departure {
  time: 1488049500
}
stop_id: ""638N""
, arrival {
  time: 1488049560
}
departure {
  time: 1488049560
}
stop_id: ""637N""
, arrival {
  time: 1488049650
}
departure {
  time: 1488049650
}
stop_id: ""636N""
, arrival {
  time: 1488049740
}
departure {
  time: 1488049740
}
stop_id: ""635N""
, arrival {
  time: 1488049860
}
departure {
  time: 1488049860
}
stop_id: ""634N""
, arrival {
  time: 1488049920
}
departure {
  time: 1488049920
}
stop_id: ""633N""
, arrival {
  time: 1488049980
}
departure {
  time: 1488049980
}
stop_id: ""632N""
, arrival {
  time: 1488050100
}
departure {
  time: 1488050100
}
stop_id: ""631N""
, arrival {
  time: 1488050220
}
departure {
  time: 1488050220
}
stop_id: ""630N""
, arrival {
  time: 1488050310
}
departure {
  time: 1488050310
}
stop_id: ""629N""
, arrival {
  time: 1488050400
}
departure {
  time: 1488050400
}
stop_id: ""628N""
, arrival {
  time: 1488050520
}
departure {
  time: 1488050520
}
stop_id: ""627N""
, arrival {
  time: 1488050610
}
departure {
  time: 1488050610
}
stop_id: ""626N""
, arrival {
  time: 1488050730
}
departure {
  time: 1488050730
}
stop_id: ""625N""
, arrival {
  time: 1488050820
}
departure {
  time: 1488050820
}
stop_id: ""624N""
, arrival {
  time: 1488050880
}
departure {
  time: 1488050880
}
stop_id: ""623N""
, arrival {
  time: 1488050970
}
departure {
  time: 1488050970
}
stop_id: ""622N""
, arrival {
  time: 1488051060
}
departure {
  time: 1488051060
}
stop_id: ""621N""
, arrival {
  time: 1488051210
}
departure {
  time: 1488051210
}
stop_id: ""416N""
, arrival {
  time: 1488051330
}
departure {
  time: 1488051330
}
stop_id: ""415N""
, arrival {
  time: 1488051480
}
departure {
  time: 1488051480
}
stop_id: ""414N""
, arrival {
  time: 1488051600
}
departure {
  time: 1488051600
}
stop_id: ""413N""
, arrival {
  time: 1488051690
}
departure {
  time: 1488051690
}
stop_id: ""412N""
, arrival {
  time: 1488051780
}
departure {
  time: 1488051780
}
stop_id: ""411N""
, arrival {
  time: 1488051840
}
departure {
  time: 1488051840
}
stop_id: ""410N""
, arrival {
  time: 1488051930
}
departure {
  time: 1488051930
}
stop_id: ""409N""
, arrival {
  time: 1488052020
}
departure {
  time: 1488052020
}
stop_id: ""408N""
, arrival {
  time: 1488052080
}
departure {
  time: 1488052080
}
stop_id: ""407N""
, arrival {
  time: 1488052140
}
departure {
  time: 1488052140
}
stop_id: ""406N""
, arrival {
  time: 1488052260
}
departure {
  time: 1488052260
}
stop_id: ""405N""
, arrival {
  time: 1488052350
}
departure {
  time: 1488052350
}
stop_id: ""402N""
, arrival {
  time: 1488052470
}
stop_id: ""401N""
]","4","20170225","1488048262",,,
"083400_GS.S01R","S","[departure {
  time: 1488048840
}
stop_id: ""902S""
, arrival {
  time: 1488048930
}
stop_id: ""901S""
]","GS","20170225","1488048262",,,
"077350_6..S01R","S","[arrival {
  time: 1488048272
}
departure {
  time: 1488048272
}
stop_id: ""634S""
, arrival {
  time: 1488048392
}
departure {
  time: 1488048392
}
stop_id: ""635S""
, arrival {
  time: 1488048452
}
departure {
  time: 1488048452
}
stop_id: ""636S""
, arrival {
  time: 1488048542
}
departure {
  time: 1488048542
}
stop_id: ""637S""
, arrival {
  time: 1488048602
}
departure {
  time: 1488048602
}
stop_id: ""638S""
, arrival {
  time: 1488048692
}
departure {
  time: 1488048692
}
stop_id: ""639S""
, arrival {
  time: 1488048812
}
stop_id: ""640S""
]","6","20170225","1488048262","634S","1","1488048242"
"079150_4..S13X300","S","[arrival {
  time: 1488048259
}
departure {
  time: 1488048259
}
stop_id: ""627S""
, arrival {
  time: 1488048379
}
departure {
  time: 1488048379
}
stop_id: ""628S""
, arrival {
  time: 1488048469
}
departure {
  time: 1488048469
}
stop_id: ""629S""
, arrival {
  time: 1488048589
}
departure {
  time: 1488048589
}
stop_id: ""630S""
, arrival {
  time: 1488048709
}
departure {
  time: 1488048709
}
stop_id: ""631S""
, arrival {
  time: 1488048829
}
departure {
  time: 1488048829
}
stop_id: ""632S""
, arrival {
  time: 1488048889
}
departure {
  time: 1488048889
}
stop_id: ""633S""
, arrival {
  time: 1488048949
}
departure {
  time: 1488048949
}
stop_id: ""634S""
, arrival {
  time: 1488049039
}
departure {
  time: 1488049039
}
stop_id: ""635S""
, arrival {
  time: 1488049129
}
departure {
  time: 1488049129
}
stop_id: ""636S""
, arrival {
  time: 1488049219
}
departure {
  time: 1488049219
}
stop_id: ""637S""
, arrival {
  time: 1488049279
}
departure {
  time: 1488049279
}
stop_id: ""638S""
, arrival {
  time: 1488049369
}
departure {
  time: 1488049369
}
stop_id: ""639S""
, arrival {
  time: 1488049489
}
stop_id: ""640S""
]","4","20170225","1488048262","627S","1","1488048229"
