tripId (S),NinetySixArrive (S),TimesSquareArrive (S),dow (S),routeId (S),ts (N)
817.5,846,859,weekday,1,859
1198,1225,1237,weekend,1,1238
982,997,1004,weekday,3,1005
925.5,952,965,weekend,1,967
532.5,562,577,weekday,1,579
473,522,531,weekday,2,499
1210,1222,1229,weekday,3,1197
1195,1238,1245,weekday,2,1192
1451,19,28,weekday,1,22
765.5,777,784,weekday,3,785
942,990,997,weekend,2,1001
507.5,568,576,weekday,2,577
1207.5,1236,1250,weekend,1,1251
654,700,707,weekend,2,707
1370,1417,1427,weekday,2,1428
1295,1337,1343,weekday,2,1343
25.5,51,63,weekday,1,52
633.5,682,692,weekday,2,693
859.5,888,899,weekday,1,899
981.5,1007,1019,weekend,1,1021
478,495,505,weekday,3,506
1253.5,1283,1294,weekend,1,1296
944,970,982,weekday,1,982
913.5,962,971,weekday,2,972
847.5,878,890,weekday,1,891
505,531,543,weekend,1,544
1250,1262,1271,weekday,3,1271
1333,1380,1387,weekday,2,1387
322.5,365,371,weekday,2,371
689.5,739,746,weekday,2,747
1192,1206,1213,weekday,3,1197
745.5,791,799,weekday,2,799
989.5,1015,1026,weekend,1,1027
464.5,509,516,weekend,2,517
225.5,253,266,weekday,1,267
605,620,627,weekday,3,628
776.5,825,832,weekday,2,833
1268.5,1282,1290,weekend,3,1291
570,620,628,weekend,2,629
994.5,1043,1053,weekday,2,1054
311,354,360,weekday,2,360
1269.5,1316,1322,weekday,2,1323
369,379,387,weekday,3,388
1250.5,1276,1287,weekday,1,1288
3,14,21,weekend,3,22
917.5,942,953,weekend,1,953
371,416,422,weekday,2,422
497.5,546,555,weekday,2,515
548,596,605,weekday,2,606
733.5,761,773,weekday,1,773
880.5,927,934,weekday,2,935
853.5,883,895,weekday,1,895
1029.5,1054,1067,weekend,1,1069
1003.5,1012,1019,weekend,3,1019
1332.5,1344,1351,weekend,3,1355
1221.5,1261,1268,weekend,2,1273
1167.5,1197,1208,weekend,1,1209
1061.5,1086,1098,weekend,1,1099
43,54,62,weekend,3,62
141,190,202,weekday,2,203
456,514,521,weekday,2,523
599.5,625,637,weekday,1,638
261,308,322,weekday,2,323
241,285,297,weekday,2,297
122.5,170,183,weekend,2,183
1263.5,1291,1303,weekend,1,1304
739.5,768,779,weekday,1,780
331.5,343,350,weekday,3,350
472,499,513,weekday,1,514
1002,1047,1054,weekend,2,1057
909.5,935,945,weekend,1,948
61,108,120,weekday,2,121
2862.5,31,43,weekday,2,44
816.5,865,874,weekday,2,875
876,904,916,weekday,1,917
757.5,785,798,weekday,1,799
86,95,109,weekday,1,109
1117.5,1144,1156,weekend,1,1158
864.5,913,921,weekday,2,922
605.5,632,643,weekend,1,646
789.5,802,809,weekday,3,791
1268,1280,1287,weekend,3,1287
938,982,989,weekday,2,990
491.5,510,518,weekday,3,519
985,1011,1023,weekday,1,1024
966.5,990,1002,weekday,1,1003
1118.5,1144,1157,weekday,1,1158
713.5,760,766,weekday,2,766
